Name| 1butanol| 2-butanol| 2methylpropan1ol| 2propanol| acetate| AdditionalGrowthRequierments| author| butanol| carbonMonoxide| cellShape| creator| creatorMail| cyclopentanol| descriptionEnv| dimethylamin| dimethylSulfide| ethanol| formate| gramReaction| GrowthDoublingTime| GrowthRate| h2Andco2| h2andmethanol| intestinalTracksEnv| link| maximalGrowthTemperature| maximumcellGcContent| maximumcellLength| maximumcellWidth| maximumGrowthNACL| maximumGrowthPH| methanol| methylamin| minimalGrowthTemperature| minimumcellGcContent| minimumcellLength| minimumcellWidth| minimumGrowthNACL| minimumGrowthPH| MinimumGrowthRequierments| nomenclaturalPublication| numberPublications| optimalGrowthNACLMaximal| optimalGrowthNACLMinimal| optimalGrowthPHMaximal| optimalGrowthPHMinimal| optimalGrowthTemperatureMaximal| optimalGrowthTemperatureMinimal| otherATTCStrainNumbers| otherCollections| otherDSMStrainNumbers| otherEnv| otherSubstrate| pmidPublication| propanol| propionate| reactorsEnv| soilEnv| trimethylamin| typeStrain| volcanicEnv| waterEnv| 
Methanobrevibacter smithii| no data| no data| no data| no data| no data| no data| W. Balch et al.; 1979; Microbiol. Rev.; vol. 43; p. 260| no data| no data| Cocci| not determined| yes| no data| Sample of primary sewage digester (USA).| no data| no data| no data| feeds| positive| no data| no data| feeds| not determined| not applicable| http://mmbr.asm.org/content/43/2/260.long| no data| unavailable| 1.5| 0.7| no data| no data| not determined| no data| no data| 31| 1| 0.5| no data| no data| no data| no data| no| no data| no data| 7.4| 6.9| 39| 37| ATCC 35061, OCM 144, | no data| DSM-861| no data| no data| W. Balch et al.| no data| not determined| not applicable| not applicable| no data| PS| not applicable| not applicable| 
Methanobrevibacter thaueri| no data| no data| no data| no data| do not feed on| none| T. Miller et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 819| no data| no data| Coccobacillus| positive| yes| no data| Sample of cow feaces.| no data| no data| no data| do not feed on| positive| no data| no data| feeds| do not feed on| yes| http://ijs.sgmjournals.org/content/52/3/819.abstract| no data| not determined| 1.2| 0.5| no data| no data| do not feed on| no data| no data| 38| 0.6| 0.5| 0| no data| acetate, yeast extract, trypticase| no data| nd| no data| no data| 7| 7| 37| 37| OCM 817| no data| DSM-11995| no data| no data| T. Miller et al.| no data| do not feed on| not applicable| not applicable| do not feed on| CW| not applicable| not applicable| 
Methanobrevibacter woesei| no data| no data| no data| no data| do not feed on| no data| T. Miller et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 819| no data| no data| Coccobacillus| positive| yes| no data| Sample of goose feaces.| no data| no data| no data| feeds| positive| no data| no data| feeds| do not feed on| yes| http://ijs.sgmjournals.org/content/52/3/819.abstract| no data| not determined| 1| 0.6| 0.427789185489| no data| do not feed on| no data| no data| 31| 1| 0.6| 0| no data| acetate, yeast extract, trypticase| no data| nd| no data| no data| 7| 7| 37| 37| OCM 815| no data| DSM-11979| no data| no data| T. Miller et al.| no data| do not feed on| not applicable| not applicable| do not feed on| GS| not applicable| not applicable| 
Methanobrevibacter wolinii| no data| no data| no data| no data| do not feed on| no data| T. Miller et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 819| no data| no data| Coccobacillus| positive| yes| no data| Sample of sheep feaces.| no data| no data| no data| do not feed on| positive| no data| no data| feeds| do not feed on| yes| http://ijs.sgmjournals.org/content/52/3/819.abstract| no data| not determined| 1.4| 0.6| no data| no data| do not feed on| no data| no data| 24.2| 1| 0.6| 0| no data| acetate, yeast extract, trypticase, coenzyme M, branched-chain| no data| nd| no data| no data| 7| 7| 37| 37| OCM 814| no data| DSM-11976| no data| no data| T. Miller et al.| no data| do not feed on| not applicable| not applicable| do not feed on| SH| not applicable| not applicable| 
Methanocalculus chunghsingensis| no data| do not feed on| do not feed on| do not feed on| do not feed on| tungsten| M. Lai et al.; 2004; Int. J. Syst. Evol. Microbiol.; vol. 54; p. 183| do not feed on| no data| Irregular cocci| negative| yes| no data| Samples from an estuary in Eriln Shi, near Wang-gong, Taiwan.| do not feed on| no data| do not feed on| feeds| negative| 33| 0.021| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/54/1/183.abstract| 45| present| 1.6| 1.6| 2.05338809035| 8| do not feed on| no data| 20| 50| 1| 1| 0| 6| acetate| no data| variable| 0.171115674196| 0.171115674196| 7.2| 7.2| 37| 37| OCM 772| OCM 772| DSM-14539| no data| no data| M. Lai et al.| no data| not determined| not applicable| not applicable| do not feed on| K1F9705b| not applicable| yes| 
Methanocalculus halotolerans| do not feed on| do not feed on| no data| do not feed on| do not feed on| yeast extract| B. Ollivier et al.; 1998; Int. J. Syst. Bacteriol.; vol. 48; p. 823| do not feed on| no data| Cocci| not determined| yes| no data| Sample collected from the well-head of the Scheibenhardt NDL 103 oilfield in Alsace (France).| no data| no data| no data| feeds| not determined| 12| 0.058| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/48/3/821.abstract| 45| present| 1| 1| 2.13894592745| 8.4| do not feed on| no data| 28| 55| 1| 1| 0| 7| acetate| no data| yes| 0.855578370979| 0.855578370979| 7.6| 7.6| 38| 38| OCM 470| OCM 470| DSM-14092| no data| not supporting: lactate, glucose| B. Ollivier et al.| do not feed on| not determined| not applicable| not applicable| do not feed on| SEBR 4845| not applicable| yes| 
Methanocalculus natronophilus| do not feed on| not determined| not determined| do not feed on| do not feed on| no data| T. Zhilina et al.; 2014; Microbiology; vol. 82; p. 698| no data| not determined| Irregular cocci| not determined| yes| not determined| Samples taken from bottom sediments of Tanatar soda lakes (Altai, Russia) and from the collectors in the vicinity of these lakes.| not determined| not determined| not determined| feeds| not determined| no data| no data| feeds| not determined| not applicable| http://link.springer.com/article/10.1134%2FS0026261713060131| 45| present| 1.2| 1.2| 3.3| 10.2| do not feed on| not determined| 14| 50.2| 0.2| 0.2| 0.9| 8| no data| no data| variable| 1.9| 1.4| 9.5| 9| 37| 30| VKM B-2765, | VKM B-2765| DSM-25006| no data| no data| T. Zhilina et al.| do not feed on| not determined| not applicable| not applicable| do not feed on| Z-7105| not applicable| yes| 
Methanocalculus pumilus| do not feed on| do not feed on| no data| do not feed on| do not feed on| no data| K. Mori et al.; 2000; Int. J. Syst. Evol. Microbiol.; vol. 50; p. 1723| do not feed on| no data| Irregular cocci| negative| yes| no data| Leachate samples taken from pipes (25 cm in diameter), used for monitoring sinkage and water quality, at the Osaka North Port Sea-Based Solid-Waste-Disposal Site in Japan.| no data| no data| do not feed on| feeds| negative| 12| 0.058| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/50/5/1723.abstract| 45| absent| 1| 1| 1.19780971937| 9| do not feed on| no data| 25| 51.9| 0.8| 0.8| 0| 5.5| acetate| no data| no| 0.171115674196| 0.171115674196| 7| 7| 35| 35| ATCC BAA-129, JCM 10627| ATCC BAA-129, JCM 10627| DSM-12632| no data| not supporting: pyruvate, glucose| K. Mori et al.| do not feed on| not determined| yes| not applicable| do not feed on| KHT-1| not applicable| not applicable| 
Methanocalculus taiwanensis| no data| do not feed on| do not feed on| do not feed on| do not feed on| tungsten, microelement solution| M. Lai et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 1799| do not feed on| no data| Irregular cocci| negative| yes| no data| Samples from water of an estuary in Eriln Shi near Wong-Kong, Taiwan.| no data| no data| do not feed on| feeds| negative| 7.1| 0.098| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/52/5/1799.abstract| 45| absent| 1.4| 1.4| 0.684462696783| 8.3| do not feed on| no data| 28| no data| 0.9| 0.9| 0| 5.6| acetate| no data| no| 0.0855578370979| 0.0855578370979| 6.7| 6.7| 37| 37| OCM 671, CCRC 16182, BCRC 16182| OCM 671, CCRC 16182, BCRC 16182| DSM-14663| no data| no data| M. Lai et al.| no data| not determined| not applicable| not applicable| do not feed on| P2F9704a| not applicable| yes| 
Methanocaldococcus fervens| no data| no data| no data| no data| do not feed on| yeast extract, casamino acids, tripticase, selenite, tungsten| C. Jeanthon et al.; 1999; Int. J. Syst. Bacteriol.; vol. 49; p. 583| no data| no data| Irregular cocci| not determined| yes| no data| Samples from deep-sea hydrothermal vent core sample from Guaymas Basin, Gulf of California, at a depth of 2003 m.| no data| no data| no data| do not feed on| not determined| 0.33| 2.1| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/49/2/583.abstract| 92| present| 2| 2| 0.855578370979| 7.6| do not feed on| do not feed on| 48| 33| 1| 1| 0.0855578370979| 5.5| no data| no data| yes| 0.513347022587| 0.513347022587| 6.5| 6.5| 85| 85| JCM 15782| JCM 15782| DSM-4213| no data| no data| C. Jeanthon et al.| no data| do not feed on| not applicable| not applicable| no data| AG86| yes| not applicable| 
Methanocaldococcus indicus| no data| feeds| no data| no data| do not feed on| selenate, tungsten, yeast extract| S. L Haridon et al.; 2003; Int. J. Syst. Evol. Microbiol.; vol. 53; p.1931| no data| no data| Cocci| negative| yes| no data| Chimney sample collected in April 2001 at the Kairei vent field on the Central Indian Ridge (25°19' S, 70°02' E) at a depth of 2420 m.| no data| no data| no data| do not feed on| negative| 0.5| 1.38| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/53/6/1931.abstract| 86| present| 3| 3| 0.856| 6.7| do not feed on| do not feed on| 50| 30.7| 1| 1| 0.257| 5.5| no data| no data| yes| 0.513| 0.513| 6.5| 6.5| 85| 85| JCM 11886| JCM 11886| DSM-15027| no data| no data| 14657125| no data| do not feed on| not applicable| not applicable| no data| SL43| yes| not applicable| 
Methanocaldococcus infernus| not determined| not determined| not determined| not determined| do not feed on| selenate, tungsten, yeast extract| C. Jeanthon et al.; 1998; Int. J. Syst. Bacteriol.; vol. 48; p. 913| no data| not determined| Cocci| not determined| yes| not determined| Chimney sample collected from the Logatchev hydrothermal field (14° 45' N, 44° 59' W) on the Mid-Atlantic Ridge at a depth of 3000 m.| not determined| not determined| not determined| do not feed on| not determined| 0.513| 1.35| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/48/3/913.abstract| 91| present| 3| 3| 0.962525667351| 7| do not feed on| do not feed on| 55| 33| 1| 1| 0.213894592745| 5.25| None| no data| yes| 0.427789185489| 0.427789185489| 6.5| 6.5| 85| 85| JCM 15783| JCM 15783| DSM-11812| no data| no data| C. Jeanthon et al.| not determined| do not feed on| not applicable| not applicable| not determined| ME| yes| not applicable| 
Methanocaldococcus jannaschii| no data| no data| no data| no data| do not feed on| Selenium| W. Jones, et al.; 1983; Arch. Microbiol.; vol. 136; p. 254| no data| no data| Irregular cocci| not determined| yes| no data| Hydrothermal vent effluent waters and sedimentary material adjacent to vents were collected in April and May, 1982 from the East Pacific Rise at 20° 50' N latitude and 109° 06' W longitude at a depth of 2600 m.| do not feed on| no data| no data| do not feed on| not determined| 0.433| 1.6| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00425213| 85| present| 1.5| 1.5| 0.9| 7| do not feed on| do not feed on| 50| 31| 1.5| 1.5| 0.2| 5.2| NaCl, Na2S, | no data| yes| 0.5| 0.5| 6| 6| 85| 85| ATCC 43067, JCM 10045, OCM 168, NBRC 100440, CIP 104961| ATCC 43067, JCM 10045, OCM 168, NBRC 100440, CIP 104961| DSM-2661| no data| no data| W. Jones, et al.| no data| not determined| not applicable| not applicable| do not feed on| JAL-1| yes| not applicable| 
Methanocaldococcus villosus| no data| no data| no data| no data| do not feed on| selenate, tungsten, yeast extract| A. Bellack et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p.1239| no data| no data| Irregular cocci| negative| yes| no data| Samples from the Kolbeinsey Ridge (Fricke et al., 1989), north of Iceland (67° 05' N; 18° 42' W), by the research submersible Jago at a depth of 105 m.| no data| no data| no data| do not feed on| negative| 0.75| 0.942| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/6/1239.abstract| 90| present| 2| 2| 0.941136208077| 7| do not feed on| no data| 55| 30| 1| 1| 0.0855578370979| 5.5| no data| no data| yes| 0.427789185489| 0.427789185489| 6.5| 6.5| 80| 80| JCM 16315| JCM 16315| DSM-22612| no data| not supporting: pyruvate| A. Bellack et al.| no data| not determined| not applicable| not applicable| no data| KIN24-T80| yes| not applicable| 
Methanocaldococcus vulcanius| not determined| not determined| not determined| not determined| do not feed on| selenate, tungsten, yeast extract| C. Jeanthon et al.; 1999; Int. J. Syst. Bacteriol.; vol. 49; p. 583| no data| not determined| Cocci| not determined| yes| not determined| Samples from chimney from the hydrothermal field (12°48' N, 103°56' W), on the East Pacific Rise at a depth of 2600 m.| not determined| not determined| not determined| do not feed on| not determined| 0.66| 1.05| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/49/2/583.abstract| 89| present| 3| 3| 0.962525667351| 7| do not feed on| do not feed on| 49| 31| 1| 1| 0.106947296372| 5.25| None| no data| yes| 0.427789185489| 0.427789185489| 6.5| 6.5| 80| 80| ATCC 700851| ATCC 700851| DSM-12094| no data| no data| C. Jeanthon et al.| not determined| do not feed on| not applicable| not applicable| not determined| M7| yes| not applicable| 
Methanocella arvoryzae| no data| do not feed on| do not feed on| do not feed on| do not feed on| easyt extract| S. Sakai et al.; 2010; Int. J. Syst. Evol. Microbiol.; vol. 60; p. 2918| do not feed on| no data| Rod| not determined| yes| no data| Sample from a rice field soil in Italy.| do not feed on| no data| do not feed on| feeds| not determined| 8| 0.087| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/60/12/2918.abstract| 55| absent| 2.8| 0.7| 0.342231348392| 7.8| do not feed on| do not feed on| 37| 56.7| 1.3| 0.4| 0| 6| acetate| no data| no| 0| 0| 7| 7| 45| 45| NBRC 105507| NBRC 105507| DSM-22066| no data| no data| S. Sakai et al.| no data| do not feed on| not applicable| yes| do not feed on| MRE50| not applicable| not applicable| 
Methanocella conradii| no data| do not feed on| do not feed on| do not feed on| do not feed on| no data| Z. Lu et al.; 2012; J. Bacteriol.; vol. 194; p. 2398| do not feed on| no data| Rod| not determined| yes| no data| Chinese rice field soil.| do not feed on| no data| do not feed on| do not feed on| not determined| 6.3| 0.11| feeds| not determined| not applicable| http://jb.asm.org/content/194/9/2398.abstract| 60| absent| 2.8| 0.3| 0.0855578370979| 7.2| do not feed on| do not feed on| 37| 52.7| 1.4| 0.2| 0| 6.4| acetate| no data| no| 0| 0| 6.8| 6.8| 55| 50| JCM 17849, CGMCC 1.5162| JCM 17849, CGMCC 1.5162| DSM-24694| no data| no data| Z. Lo et al.| no data| not determined| not applicable| yes| do not feed on| HZ254| not applicable| not applicable| 
Methanocella paludicola| do not feed on| do not feed on| no data| do not feed on| do not feed on| yeast extract| S. Sakai et al.; 2008; Int. J. Syst. Evol. Microbiol.; vol. 58; p. 929| do not feed on| no data| Rod| negative| yes| do not feed on| Sample isolated from a rice paddy soil at Nagaoka, Niigata, Japan.| do not feed on| no data| do not feed on| feeds| negative| 100.8| 0.007| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/58/4/929.abstract| 40| absent| 2.4| 0.6| 0.0171115674196| 7.8| do not feed on| do not feed on| 25| 56.6| 1.8| 0.3| 0| 6.5| acetate| no data| no| no data| no data| 7| 7| 37| 35| JCM 13418, NBRC 101707| JCM 13418, NBRC 101707| DSM-17711| no data| not supporting: pyruvate, lactate| S. Sakai et al.| do not feed on| not determined| not applicable| yes| do not feed on| SANAE| not applicable| not applicable| 
Methanococcoides alaskense| no data| no data| no data| no data| do not feed on| no data| N. Singh et al.; 2005; Int. J. Syst. Evol. Microbiol.; vol. 55; p.2531| no data| no data| Irregular cocci| not determined| yes| no data| Sample from permanently cold, anoxic marine sediments at Skan Bay, Alaska.| no data| do not feed on| no data| do not feed on| negative| no data| no data| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/55/6/2531.abstract| 28.4| present| 2| 1.5| 0.7| no data| do not feed on| no data| 2.3| 41.9| 2| 1.5| 0.1| no data| no data| no data| no| 0.4| 0.3| 7.5| 6.3| 23.6| 23.6| OCM 775| OCM 775| DSM-17273| no data| no data| N. Singh et al.| no data| not determined| not applicable| yes| feeds| AK-5| not applicable| not applicable| 
Methanococcoides burtonii| no data| no data| no data| no data| do not feed on| no data| P. Franzmann et al.; 1992; Syst. Appl. Microbiol.; vol. 15; p. 573| no data| no data| Irregular cocci| not determined| yes| no data| Sample from the anoxic hypolimnion of Ace Lake, Antarctica.| no data| no data| no data| no data| not determined| no data| no data| no data| not determined| not applicable| http://www.sciencedirect.com/science/article/pii/S0723202011801177| 29.5| unavailable| no data| no data| 0.5| 8.2| feeds| no data| 1.7| 39.6| no data| no data| 0.2| 6.8| no data| no data| unavailable| no data| no data| no data| no data| 23.4| 23.4| OCM 468| OCM 468| DSM-6242| no data| no data| P. Franzmann et al.| no data| not determined| not applicable| not applicable| no data| ACE-M| not applicable| not applicable| 
Methanococcoides methylutens| no data| no data| no data| no data| do not feed on| no data| K. Sowers et al.; 1983; Appl. Environ. Microbiol.; vol. 45; p. 684| no data| no data| Irregular cocci| negative| yes| no data| Sediment (0 to 60 cm) obtained by a diver assisted with SCUBA at a depth of 65 feet (ca. 19.8 m) from the Sumner branch of Scripps Canyon located near La Jolla, California.| feeds| no data| no data| do not feed on| negative| 5.2| 0.133| do not feed on| not determined| not applicable| http://aem.asm.org/content/45/2/684.abstract| 40| absent| 3| 1| 1.2| 8| feeds| feeds| 15| 42| 3| 1| 0.043| 6| no data| no data| no| 0.64| 0.24| 7.5| 7| 35| 30| ATCC 33938, OCM 158,  BCRC 16168,  CCRC 16168| ATCC 33938, OCM 158,  BCRC 16168,  CCRC 16168| DSM-2657| no data| no data| K. Sowers et al.| no data| not determined| not applicable| yes| feeds| TMA-10| not applicable| not applicable| 
Methanococcoides vulcani| not determined| not determined| not determined| not determined| not determined| no data| S. L'Haridon et al.| no data| not determined| Irregular cocci| no data| no data| not determined| Samples from deep sediment covered by an orange microbial mat collected from the Napoli Mud Volcano.| feeds| not determined| not determined| not determined| negative| no data| no data| not determined| not determined| not applicable| http://ijs.sgmjournals.org/content/early/2014/03/07/ijs.0.058289-0.abstract| no data| unavailable| no data| no data| no data| no data| feeds| feeds| no data| 43.4| no data| no data| no data| no data| no data| no data| no| 0.5| 0.5| 7| 7| 30| 30| no data| SLH33, JCM 19278| DSM-26966| no data| no data| no data| not determined| not determined| not applicable| not applicable| feeds| SLH33T| yes| not applicable| 
Methanococcus aeolicus| do not feed on| do not feed on| no data| do not feed on| do not feed on| Selenium| M. Kendall et al.; 2006; Int. J. Syst. Evol. Microbiol.; vol. 57; p. 1525| do not feed on| no data| Irregular cocci| not determined| yes| no data| Sample of sediment taken from the Nankai Trough near the coast of Japan.| no data| no data| do not feed on| no data| not determined| 1.38| 0.5| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/56/7/1525.abstract| 50| not determined| 2| 2| 1| 7.5| do not feed on| no data| 10| 32| 1.5| 1.5| 0.05| 4.3| no data| no data| yes| 0.4| 0.2| 7| 7| 46| 46| OCM 812| OCM 812| DSM-17508| no data| no data| K. Schmid et al.| do not feed on| not determined| not applicable| not applicable| do not feed on| Nankai-3| not applicable| yes| 
Methanococcus maripaludis| no data| no data| no data| no data| do not feed on| Selenium| W. Jones et al.; 1983; Arch. Microbiol.; vol. 135; p. 91| no data| no data| Irregular cocci| negative| yes| no data| Grab samples of sediment (top 10 cm) from the tall Spartina alterniflora region of Pawley's Island salt marsh, South Carolina.| do not feed on| no data| no data| do not feed on| negative| 2| 0.35| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00408015| 85| not determined| 1.5| 1.5| 0.9| 7| do not feed on| do not feed on| 50| 31| 1.5| 1.5| 0.2| 5.2| NaCl, Na2S| no data| yes| 0.5| 0.5| 6| 6| 85| 85| ATCC 43000, JCM 10722, NBRC 101831, OCM 175| ATCC 43000, JCM 10722, NBRC 101831, OCM 175| DSM-2067| no data| no data| W. Jones et al.| no data| not determined| not applicable| not applicable| do not feed on| JJ| yes| not applicable| 
Methanococcus vannielii| no data| no data| no data| no data| no data| no data| T. Stadtman et al.; 1951; J. Bacteriol.; vol. 62; p. 269| no data| no data| Irregular cocci| not determined| yes| no data| Sample of a black mud from the east shore of San Francisco Bay.| no data| no data| no data| feeds| not determined| no data| no data| feeds| not determined| not applicable| http://jb.asm.org/content/62/3/269.long| no data| no data| 1| 1| no data| 9.2| do not feed on| no data| no data| 33| 1| 1| no data| 7.4| no data| no data| no data| no data| no data| 8| 8| 30| 30| ATCC 35089, JCM 13029, OCM 148| ATCC 35089, JCM 13029, OCM 148| DSM-1224| no data| no data| T. Stadtman et al.| no data| not determined| not applicable| not applicable| no data| SB| not applicable| not applicable| 
Methanococcus voltae| no data| do not feed on| no data| do not feed on| do not feed on| pantoyllacetone| W. Belch et al.; 1989; Int. J. Syst. Bacteriol.; vol. 39; p. 493| do not feed on| no data| Irregular cocci| unknown (cell lysis)| yes| no data| A sediment sample obtained near the mouth of the Waccasassa estuary in western Florida.| no data| no data| do not feed on| feeds| unknown (cell lysis)| 3| 0.231| feeds| not determined| not applicable| http://mmbr.asm.org/content/43/2/260.long| 45| present| 3| 3| 0.82135523614| 9| do not feed on| no data| 21| 30| 0.5| 0.5| 0.205338809035| 6| Ni, Fe, Co, Mg, Ca, SeO4, CO2, 2methylbutyrate, propionate, isoleucine, leucine| no data| yes | 0.684462696783| 0.342231348392| 7.4| 7| 38| 38| ATCC 33273, OCM 70, OGC 70, NBRC 100457,  NCAIM B.01912| ATCC 33273, OCM 70, OGC 70, NBRC 100457,  NCAIM B.01912| DSM-1537| no data| not supporting:butyrate, valerate| W. Belch et al.| no data| not determined| not applicable| not applicable| no data| PS| not applicable| yes| 
Methanocorpusculum aggregans| no data| no data| no data| no data| do not feed on| no data| B. Ollivier et al.; 1985; Int. J. Syst. Bacteriol.; vol. 35; p. 127| no data| no data| Irregular cocci| negative| yes| no data| Sample from a sewage sludge digestor at Bourg en Bresse, France.| do not feed on| no data| no data| feeds| negative| 8| 0.087| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/35/2/127.abstract| 40| absent| 2| 2| 0.342231348392| 8| do not feed on| do not feed on| 25| 52| 0.5| 0.5| 0| 6| acetate, yeast extract| no data| no| 0.00342231348392| 0.00342231348392| 7| 6.5| 35| 35| OCM 21, OGC 21| OCM 21, OGC 21| DSM-3027| no data| no data| B. Ollivier et al.| no data| not determined| yes| not applicable| do not feed on| MSt| not applicable| not applicable| 
Methanocorpusculum bavaricum| do not feed on| feeds| no data| feeds| do not feed on| tungsten| G. Zellner et al.; 1989; Arch. Microbiol.; vol. 151; p. 381| feeds| no data| Irregular cocci| negative| yes| no data| Sample of anaerobic sediment of a wastewater treatment pond of the sugar factory in Regensburg (FRG).| do not feed on| no data| do not feed on| feeds| negative| 5| 0.139| feeds| not determined| not applicable| http://link.springer.com/article/10.1007/BF00416595| 40| present| 1| 1| no data| no data| do not feed on| do not feed on| 15| 51.3| 1| 1| no data| no data| rumen fluid, yeast extract| no data| yes| no data| no data| 7| 7| 37| 37| ATCC BAA-929, OCM 127| ATCC BAA-929, OCM 127| DSM-4179| no data| not supporting:cyclohexanol| G. Zellner et al.| do not feed on| not determined| yes| not applicable| do not feed on| SZSXXZ| not applicable| not applicable| 
Methanocorpusculum labreanum| no data| no data| no data| no data| do not feed on| no data| Y. Zhao et al.; 1989; Int. J. Syst. Evol. Microbiol.; vol. 39; p. 10| no data| no data| Irregular cocci| negative| yes| no data| Sample collected from an active, gas-producing area of Tar Pit Lake at the LaBrea Tar Pits in Los Angeles, California.| no data| no data| do not feed on| feeds| negative| 9.2| 0.075| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/39/1/10.abstract| 40| absent| 2| 2| 0.513347022587| 7.5| do not feed on| no data| 25| 50| 0.4| 0.4| 0| 6.5| no data| no data| no| 0| 0| 7| 7| 37| 37| ATCC 43576, OCM 1, OGC 1| ATCC 43576, OCM 1, OGC 1| DSM-4855| no data| no data| Y. Zhao et al.| no data| not determined| not applicable| not applicable| do not feed on| Z| not applicable| yes| 
Methanocorpusculum parvum| do not feed on| no data| no data| feeds| do not feed on| rumen fluid| G. Zellner et al.; 1987; Arch. Microbiol.; vol. 147; p. 13| no data| no data| Irregular cocci| negative| yes| no data| Sample from an anaerobic sour whey digester, originally inoculated with sewage sludge.| do not feed on| no data| do not feed on| feeds| negative| 8| 0.087| feeds| do not feed on| not applicable| http://link.springer.com/article/10.1007%2FBF00492898| 40| present| 1| 1| 0.80424366872| no data| do not feed on| do not feed on| 20| 48.5| 1| 1| 0| no data| acetate, yeast extract, tungsten,| no data| yes| 0| 0| 7.5| 6.8| 37| 37| ATCC 43721, OCM 63| ATCC 43721, OCM 63| DSM-3823| no data| not supporting: pyruvate, lactate, fumarate, butyrate, 2-pentanol, formaldehyde, alanine, leucine| G. Zellner et al.| no data| do not feed on| yes| not applicable| do not feed on| XII| not applicable| not applicable| 
Methanocorpusculum sinense| do not feed on| do not feed on| no data| do not feed on| do not feed on| tungsten| G. Zellner et al.; 1989; Arch. Microbiol.; vol. 151; p. 381| do not feed on| no data| Irregular cocci| negative| yes| no data| Sample of the effluent of a fixed-bed pilot fermentation plant for anaerobic treatment of distillery wastes, operated at the Biogas Research and Training Centre of Asia and the Pacific in Chengdu, Sichuan, China.| do not feed on| no data| do not feed on| feeds| negative| 20| 0.035| feeds| not determined| not applicable| http://link.springer.com/article/10.1007/BF00416595| 45| not determined| 1| 1| no data| no data| do not feed on| do not feed on| 15| 50| 1| 1| no data| no data| rumen fuid, yeast extract| no data| yes| no data| no data| 7| 7| 30| 30| ATCC BAA-933, OCM 128| ATCC BAA-933, OCM 128| DSM-4274| no data| not supporting: cyclohexanol| G. Zellner et al.| do not feed on| not determined| yes| not applicable| do not feed on| China Z| not applicable| not applicable| 
Methanoculleus bourgensis| no data| no data| no data| no data| do not feed on| no data| B. Ollivier et al.; 1986; Int. J. Syst. Bacteriol.; vol. 36; p. 297| no data| no data| Irregular cocci| negative| yes| no data| Samples from a digestor fermenting tannery by-products which was originally inoculated with digested sewage sludge from Bourg, or Bourg-en- Bresse, France.| no data| no data| no data| feeds| negative| 18| 0.039| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/36/2/297.abstract| 50| absent| 2| 2| 0.342231348392| 8| do not feed on| no data| 30| 59| 1| 1| 0| 5.5| acetate| no data| no| 0.0855578370979| 0.0855578370979| 6.7| 6.7| 37| 37| ATCC 43281, OGC 15, OGC 15| ATCC 43281, OGC 15, OGC 15| DSM-3045| no data| no data| B. Ollivier et al.| no data| not determined| yes| not applicable| do not feed on| MS2| not applicable| not applicable| 
Methanoculleus chikugoensis| no data| feeds| no data| feeds| do not feed on| no data| D. Dianou et al.; 2001; Int. J. Syst. Evol. Microbiol.; vol. 51; p. 1663| feeds| no data| Irregular cocci| negative| yes| feeds| Paddy field plot (Gray Lowland Soil) with long- term application of rice straw compost at the Kyushu National Agricultural Experiment Station, Chikugo, Fukuoka, Japan.| do not feed on| no data| do not feed on| feeds| negative| 46| 0.015| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/51/5/1663.abstract| 40| present| 2| 2| 0.3| 8| not determined| do not feed on| 15| 62.2| 1| 1| 0| 6.7| yeast extract, tripticase peptone, casitone, acetate| no data| no| 0.1| 0.1| 7.2| 6.7| 25| 25| JCM 10825, NBRC 101202, OCM 785| JCM 10825, NBRC 101202, OCM 785| DSM-13459| no data| no data| D. Dianou et al.| no data| do not feed on| not applicable| yes| do not feed on| MG62| not applicable| not applicable| 
